episode,steps,total_reward,final_score,hard_violations,coverage_shortage,time,epsilon,loss
392,200,90.00,-2894.00,215,109,138.0,0.300,0.0000
393,200,9.00,-2939.00,205,136,138.4,0.300,0.0000
394,200,40.00,-2701.00,204,93,138.7,0.300,0.0000
395,200,-38.00,-2826.00,194,140,139.1,0.300,0.0000
396,200,-83.00,-2958.00,190,171,139.4,0.300,0.0000
397,200,-2.00,-2885.00,201,138,139.8,0.300,0.0000
398,200,82.00,-2694.00,174,151,140.1,0.300,0.0000
399,200,115.00,-2711.00,189,125,140.5,0.300,0.0000
400,200,64.00,-2743.00,199,113,140.8,0.300,0.0000
401,200,63.00,-2772.00,191,133,141.2,0.300,0.0000
402,200,39.00,-2713.00,188,129,141.5,0.300,0.0000
403,200,26.00,-2947.00,203,145,141.9,0.300,0.0000
404,200,67.00,-2840.00,189,150,142.2,0.300,0.0000
405,200,22.00,-2822.00,207,110,142.6,0.300,0.0000
406,200,177.00,-2733.00,175,158,142.9,0.300,0.0000
407,200,0.00,-2818.00,190,144,143.3,0.300,0.0000
408,200,103.00,-2975.00,217,118,143.6,0.300,0.0000
409,200,-55.00,-2831.00,196,135,144.0,0.300,0.0000
410,200,51.00,-3020.00,229,106,144.3,0.300,0.0000
411,200,21.00,-2797.00,204,113,144.7,0.300,0.0000
412,200,30.00,-2809.00,211,101,145.0,0.300,0.0000
413,200,-24.00,-2880.00,212,112,145.4,0.300,0.0000
414,200,0.00,-2864.00,192,150,145.7,0.300,0.0000
415,200,8.00,-2833.00,200,126,146.1,0.300,0.0000
416,200,-100.00,-2887.00,210,119,146.4,0.300,0.0000
417,200,15.00,-2948.00,203,143,146.8,0.300,0.0000
418,200,112.00,-2618.00,184,117,147.1,0.300,0.0000
419,200,50.00,-2758.00,164,185,147.5,0.300,0.0000
420,200,-11.00,-2636.00,177,133,147.8,0.300,0.0000
421,200,64.00,-2811.00,205,111,148.2,0.300,0.0000
422,200,92.00,-2661.00,193,106,148.5,0.300,0.0000
